scheme_id,scheme_name,ministry,max_age,max_income_lakhs,category,gender,states,benefits,apply_link,no_income_limit,no_age_limit
1,PM Jan Dhan Yojana,Finance,100,999,All,all,all india,Zero balance+₹2L insurance,pmjdy.gov.in,TRUE,FALSE
2,PM Ujjwala 2.0,Petroleum,65,0.8,BPL,female,all india,Free LPG connection,pmuy.gov.in,FALSE,FALSE
3,PM Kisan Samman Nidhi,Agriculture,65,0,Farmer,all,all india,₹6000/year,pmkisan.gov.in,FALSE,FALSE
4,PM SVANidhi,MSME,65,5,Street vendor,all,all india,₹10K-50K loan,pmsvanidhi.mohua.gov.in,FALSE,FALSE
5,Mudra Yojana,MSME,60,20,Micro business,all,all india,₹50K-20L loans,mudra.org.in,FALSE,FALSE
6,PM Awas Yojana Urban,Housing,65,4,BPL,all,all india,₹2.67L subsidy,pmay-urban.gov.in,FALSE,FALSE
7,Ayushman Bharat PM-JAY,Health,120,5,BPL,all,all india,₹5L insurance,pmjay.gov.in,FALSE,TRUE
8,PM Garib Kalyan Anna Yojana,Food,120,0,BPL,all,all india,Free 5kg ration,dfpd.gov.in,FALSE,TRUE
9,Atal Pension Yojana,PFRDA,70,5,Unorganized,all,all india,₹1000-5000 pension,apns.in,FALSE,FALSE
10,KVP National Savings,Finance,120,0,All,all,all india,8.4% interest,nsiindia.gov.in,FALSE,TRUE
11,MGNREGA,Rural Development,60,0,Rural labour,all,all india,100 days work,nrega.nic.in,FALSE,FALSE
12,Khelo India,Sports,25,0,Youth,all,all india,Sports infra,kheloindia.gov.in,FALSE,FALSE
13,Startup India Seed Fund,MSME,40,0,Startup,all,all india,₹20-50L funding,startupindia.gov.in,FALSE,FALSE
14,PMEGP,MSME,35,2.5,Unemployed,all,all india,35L project,kviconline.gov.in,FALSE,FALSE
15,PM Vishwakarma,MSME,50,3,Artisan,all,all india,₹3L credit,pmvishwakarma.gov.in,FALSE,FALSE
16,Old Age Samman Allowance Haryana,Social Justice,100,2,Senior,all,haryana,₹3000/month,sewa.haryana.gov.in,FALSE,FALSE
17,Widow Pension Haryana,Social Justice,55,2,Widow,female,haryana,₹2000/month,socialjusticehry.gov.in,FALSE,FALSE
18,Ladli Scheme Haryana,WCD,10,0,Girl child,female,haryana,₹2.1L maturity,wcdhry.gov.in,FALSE,FALSE
19,Aashirwad Scheme Haryana,Social Justice,35,5,SC marriage,all,haryana,₹71K grant,socialjusticehry.gov.in,FALSE,FALSE
20,Parivar Pehchan Patra Haryana,Revenue,120,0,Family,all,haryana,DBT access,meripehchan.gov.in,FALSE,TRUE
21,PM Matru Vandana Yojana,WCD,49,8,Pregnant women,female,all india,₹5000 maternity,pmmvy.wcd.gov.in,FALSE,FALSE
22,PM Suraksha Bima Yojana,Finance,70,2,All,all,all india,₹2L accident cover,pmsby.gov.in,FALSE,FALSE
23,Sukanya Samriddhi Yojana,Finance,10,1.5,Girl child,female,all india,8.2% interest,sukanya.gov.in,FALSE,FALSE
24,National Scholarship Portal,Education,30,4,Student,all,all india,Merit scholarships,scholarships.gov.in,FALSE,FALSE
25,PM Kaushal Vikas Yojana,Skill Dev,35,0,Youth,all,all india,Skill certification,pmkvyofficial.org,FALSE,FALSE
26,Lakhpati Didi,WCD,55,2,SHG women,female,all india,₹1L income target,aajeevika.gov.in,FALSE,FALSE
27,PM Suryodaya Yojana,Renewable Energy,65,5,Household,all,all india,Rooftop solar,pmsuryaghar.gov.in,FALSE,FALSE
28,Jal Jeevan Mission,Water,120,0,Rural household,all,rural india,Tap water,jjm.gov.in,FALSE,TRUE
29,NRLM Rural Livelihood,MGNREGA,60,0,Rural women,female,rural india,SHG formation,aajeevika.gov.in,FALSE,FALSE
